Time,dt_sound_level_dB
16/03/2022 00:50,47
16/03/2022 00:51,51
16/03/2022 00:52,51
16/03/2022 00:53,51
16/03/2022 00:54,51
16/03/2022 00:55,46
16/03/2022 00:57,48
16/03/2022 00:57,52
16/03/2022 00:58,47
16/03/2022 00:59,50
16/03/2022 01:11,49
16/03/2022 01:12,49
16/03/2022 01:13,51
16/03/2022 01:14,49
16/03/2022 01:15,49
16/03/2022 01:16,47
16/03/2022 01:17,48
16/03/2022 01:18,48
16/03/2022 01:19,49
16/03/2022 01:20,48
16/03/2022 01:30,46
16/03/2022 01:31,46
16/03/2022 01:32,49
16/03/2022 01:33,47
16/03/2022 01:34,47
16/03/2022 01:35,46
16/03/2022 01:36,46
16/03/2022 01:37,47
16/03/2022 01:38,48
16/03/2022 01:39,47
16/03/2022 01:50,46
16/03/2022 01:52,50
16/03/2022 01:52,51
16/03/2022 01:53,50
16/03/2022 01:54,47
16/03/2022 01:55,50
16/03/2022 01:56,49
16/03/2022 01:57,48
16/03/2022 01:59,48
16/03/2022 01:59,50
16/03/2022 02:30,46
16/03/2022 02:31,46
16/03/2022 02:32,49
16/03/2022 02:33,49
16/03/2022 02:34,46
16/03/2022 02:35,46
16/03/2022 02:36,47
16/03/2022 02:37,51
16/03/2022 02:38,50
16/03/2022 02:39,52
16/03/2022 02:40,47
16/03/2022 02:41,47
16/03/2022 02:42,50
16/03/2022 02:43,50
16/03/2022 02:44,50
16/03/2022 02:46,48
16/03/2022 02:46,49
16/03/2022 02:47,46
16/03/2022 02:48,48
16/03/2022 02:50,47
16/03/2022 03:01,48
16/03/2022 03:01,51
16/03/2022 03:02,46
16/03/2022 03:04,48
16/03/2022 03:05,49
16/03/2022 03:06,47
16/03/2022 03:07,51
16/03/2022 03:08,47
16/03/2022 03:09,46
16/03/2022 03:10,47
16/03/2022 03:50,47
16/03/2022 03:52,46
16/03/2022 03:52,48
16/03/2022 03:53,48
16/03/2022 03:54,47
16/03/2022 03:55,48
16/03/2022 03:56,48
16/03/2022 03:57,48
16/03/2022 03:59,46
16/03/2022 03:59,50
16/03/2022 04:30,46
16/03/2022 04:31,47
16/03/2022 04:32,49
16/03/2022 04:33,49
16/03/2022 04:34,48
16/03/2022 04:35,47
16/03/2022 04:36,47
16/03/2022 04:37,47
16/03/2022 04:38,47
16/03/2022 04:39,48
16/03/2022 04:40,46
16/03/2022 04:41,49
16/03/2022 04:42,48
16/03/2022 04:43,48
16/03/2022 04:44,48
16/03/2022 04:45,49
16/03/2022 04:46,49
16/03/2022 04:47,47
16/03/2022 04:48,52
16/03/2022 04:50,46
16/03/2022 04:51,47
16/03/2022 04:52,52
16/03/2022 04:54,49
16/03/2022 04:55,47
16/03/2022 04:56,50
16/03/2022 04:57,48
16/03/2022 04:58,53
16/03/2022 04:59,51
16/03/2022 05:21,47
16/03/2022 05:22,52
16/03/2022 05:23,48
16/03/2022 05:24,50
16/03/2022 05:25,49
16/03/2022 05:26,49
16/03/2022 05:27,52
16/03/2022 05:28,49
16/03/2022 05:29,47
16/03/2022 05:30,49
16/03/2022 05:31,49
16/03/2022 05:32,50
16/03/2022 05:33,52
16/03/2022 05:34,47
16/03/2022 05:35,48
16/03/2022 05:36,48
16/03/2022 05:37,51
16/03/2022 05:38,52
16/03/2022 05:39,54
16/03/2022 06:21,53
16/03/2022 06:22,49
16/03/2022 06:23,55
16/03/2022 06:24,57
16/03/2022 06:25,55
16/03/2022 06:26,56
16/03/2022 06:27,52
16/03/2022 06:28,51
16/03/2022 06:29,50
16/03/2022 06:30,50
16/03/2022 06:31,54
16/03/2022 06:32,51
16/03/2022 06:33,49
16/03/2022 06:34,52
16/03/2022 06:35,55
16/03/2022 06:36,53
16/03/2022 06:37,52
16/03/2022 06:38,56
16/03/2022 06:39,52
16/03/2022 07:40,56
16/03/2022 07:41,62
16/03/2022 07:42,56
16/03/2022 07:43,58
16/03/2022 07:44,61
16/03/2022 07:45,59
16/03/2022 07:46,53
16/03/2022 07:47,60
16/03/2022 07:48,59
16/03/2022 07:49,54
16/03/2022 11:40,65
16/03/2022 11:41,64
16/03/2022 11:42,62
16/03/2022 11:43,65
16/03/2022 11:44,67
16/03/2022 11:45,61
16/03/2022 11:46,65
16/03/2022 11:47,60
16/03/2022 11:48,66
16/03/2022 11:49,62
16/03/2022 12:01,62
16/03/2022 12:01,63
16/03/2022 12:02,65
16/03/2022 12:03,64
16/03/2022 12:05,64
16/03/2022 12:05,65
16/03/2022 12:06,62
16/03/2022 12:07,66
16/03/2022 12:09,66
16/03/2022 12:09,67
16/03/2022 12:21,64
16/03/2022 12:22,64
16/03/2022 12:23,66
16/03/2022 12:24,66
16/03/2022 12:25,63
16/03/2022 12:26,61
16/03/2022 12:27,60
16/03/2022 12:28,63
16/03/2022 12:29,64
16/03/2022 12:30,64
16/03/2022 12:31,68
16/03/2022 12:32,63
16/03/2022 12:33,64
16/03/2022 12:34,66
16/03/2022 12:35,64
16/03/2022 12:36,65
16/03/2022 12:37,66
16/03/2022 12:38,65
16/03/2022 12:39,59
16/03/2022 12:40,62
16/03/2022 12:41,61
16/03/2022 12:42,65
16/03/2022 12:43,66
16/03/2022 12:44,63
16/03/2022 12:45,66
16/03/2022 12:46,63
16/03/2022 12:47,65
16/03/2022 12:48,61
16/03/2022 12:49,65
16/03/2022 12:50,66
16/03/2022 12:51,62
16/03/2022 12:53,62
16/03/2022 12:53,68
16/03/2022 12:54,64
16/03/2022 12:56,65
16/03/2022 12:56,66
16/03/2022 12:58,65
16/03/2022 12:59,61
16/03/2022 13:21,65
16/03/2022 13:22,65
16/03/2022 13:23,68
16/03/2022 13:24,69
16/03/2022 13:25,62
16/03/2022 13:26,60
16/03/2022 13:27,60
16/03/2022 13:28,67
16/03/2022 13:29,64
16/03/2022 13:30,65
16/03/2022 13:31,66
16/03/2022 13:32,63
16/03/2022 13:33,63
16/03/2022 13:34,66
16/03/2022 13:35,66
16/03/2022 13:36,66
16/03/2022 13:37,65
16/03/2022 13:38,67
16/03/2022 13:39,60
16/03/2022 13:40,62
16/03/2022 13:41,66
16/03/2022 13:42,63
16/03/2022 13:43,66
16/03/2022 13:44,65
16/03/2022 13:45,67
16/03/2022 13:46,59
16/03/2022 13:47,64
16/03/2022 13:48,65
16/03/2022 13:49,65
16/03/2022 14:00,63
16/03/2022 14:01,69
16/03/2022 14:02,65
16/03/2022 14:03,65
16/03/2022 14:04,61
16/03/2022 14:05,62
16/03/2022 14:06,60
16/03/2022 14:07,66
16/03/2022 14:08,68
16/03/2022 14:09,67
16/03/2022 14:10,67
16/03/2022 14:11,67
16/03/2022 14:12,64
16/03/2022 14:13,65
16/03/2022 14:14,63
16/03/2022 14:15,65
16/03/2022 14:16,67
16/03/2022 14:18,70
16/03/2022 14:19,64
16/03/2022 14:20,63
16/03/2022 14:21,63
16/03/2022 14:22,66
16/03/2022 14:23,68
16/03/2022 14:24,64
16/03/2022 14:25,62
16/03/2022 14:26,61
16/03/2022 14:27,61
16/03/2022 14:28,64
16/03/2022 14:29,66
16/03/2022 14:30,67
16/03/2022 14:40,65
16/03/2022 14:41,62
16/03/2022 14:42,66
16/03/2022 14:43,68
16/03/2022 14:44,67
16/03/2022 14:45,63
16/03/2022 14:46,62
16/03/2022 14:47,63
16/03/2022 14:48,64
16/03/2022 14:49,67
16/03/2022 15:10,62
16/03/2022 15:11,59
16/03/2022 15:12,67
16/03/2022 15:13,61
16/03/2022 15:14,56
16/03/2022 15:15,65
16/03/2022 15:16,63
16/03/2022 15:17,60
16/03/2022 15:19,66
16/03/2022 15:20,67
16/03/2022 15:40,55
16/03/2022 15:41,66
16/03/2022 15:42,55
16/03/2022 15:43,60
16/03/2022 15:44,66
16/03/2022 15:45,60
16/03/2022 15:46,56
16/03/2022 15:47,69
16/03/2022 15:48,61
16/03/2022 15:49,56
16/03/2022 16:00,66
16/03/2022 16:01,53
16/03/2022 16:02,60
16/03/2022 16:03,65
16/03/2022 16:04,57
16/03/2022 16:05,58
16/03/2022 16:06,66
16/03/2022 16:07,58
16/03/2022 16:08,57
16/03/2022 16:09,66
16/03/2022 16:10,61
16/03/2022 16:11,56
16/03/2022 16:12,65
16/03/2022 16:13,60
16/03/2022 16:14,53
16/03/2022 16:15,66
16/03/2022 16:16,63
16/03/2022 16:17,54
16/03/2022 16:18,66
16/03/2022 16:20,62
16/03/2022 18:50,59
16/03/2022 18:51,63
16/03/2022 18:52,53
16/03/2022 18:53,59
16/03/2022 18:54,61
16/03/2022 18:55,55
16/03/2022 18:56,57
16/03/2022 18:57,62
16/03/2022 18:58,56
16/03/2022 18:59,58
16/03/2022 19:10,59
16/03/2022 19:11,56
16/03/2022 19:12,55
16/03/2022 19:13,58
16/03/2022 19:14,58
16/03/2022 19:15,60
16/03/2022 19:16,59
16/03/2022 19:17,55
16/03/2022 19:18,61
16/03/2022 19:19,58
16/03/2022 19:31,63
16/03/2022 19:32,58
16/03/2022 19:33,55
16/03/2022 19:34,57
16/03/2022 19:35,52
16/03/2022 19:36,61
16/03/2022 19:37,59
16/03/2022 19:38,58
16/03/2022 19:39,59
16/03/2022 19:40,54
16/03/2022 19:41,59
16/03/2022 19:42,59
16/03/2022 19:43,58
16/03/2022 19:44,60
16/03/2022 19:45,58
16/03/2022 19:46,58
16/03/2022 19:47,57
16/03/2022 19:48,55
16/03/2022 19:49,57
16/03/2022 20:20,57
16/03/2022 20:21,58
16/03/2022 20:23,57
16/03/2022 20:24,57
16/03/2022 20:25,57
16/03/2022 20:26,59
16/03/2022 20:27,54
16/03/2022 20:28,54
16/03/2022 20:29,55
16/03/2022 20:30,59
16/03/2022 20:32,56
16/03/2022 20:33,55
16/03/2022 20:34,55
16/03/2022 20:35,57
16/03/2022 20:36,57
16/03/2022 20:37,54
16/03/2022 20:38,59
16/03/2022 20:39,58
16/03/2022 20:40,58
16/03/2022 20:41,57
16/03/2022 20:42,57
16/03/2022 20:43,56
16/03/2022 20:44,55
16/03/2022 20:45,57
16/03/2022 20:46,55
16/03/2022 20:47,54
16/03/2022 20:48,56
16/03/2022 20:49,56
16/03/2022 20:50,58
16/03/2022 20:51,54
16/03/2022 20:52,57
16/03/2022 20:53,54
16/03/2022 20:54,55
16/03/2022 20:55,55
16/03/2022 20:56,56
16/03/2022 20:57,58
16/03/2022 20:58,56
16/03/2022 20:59,57
16/03/2022 21:00,57
16/03/2022 21:16,53
16/03/2022 21:18,54
16/03/2022 21:19,59
16/03/2022 21:20,55
16/03/2022 21:21,56
16/03/2022 21:22,51
16/03/2022 21:23,56
16/03/2022 21:24,56
16/03/2022 21:25,55
16/03/2022 21:26,55
16/03/2022 21:27,58
16/03/2022 21:28,55
16/03/2022 21:29,56
16/03/2022 21:30,56
16/03/2022 21:31,53
16/03/2022 21:32,55
16/03/2022 21:32,57
16/03/2022 21:34,52
16/03/2022 21:35,53
16/03/2022 23:05,48
16/03/2022 23:06,49
16/03/2022 23:07,54
16/03/2022 23:08,55
16/03/2022 23:09,54
16/03/2022 23:10,55
16/03/2022 23:11,53
16/03/2022 23:12,51
16/03/2022 23:14,53
16/03/2022 23:15,53
16/03/2022 23:36,53
16/03/2022 23:37,52
16/03/2022 23:38,51
16/03/2022 23:39,49
16/03/2022 23:40,51
16/03/2022 23:41,53
16/03/2022 23:42,53
16/03/2022 23:43,55
16/03/2022 23:44,52
16/03/2022 23:45,48
17/03/2022 00:56,51
17/03/2022 00:57,48
17/03/2022 00:58,48
17/03/2022 00:59,50
17/03/2022 01:00,50
17/03/2022 01:01,48
17/03/2022 01:02,47
17/03/2022 01:03,48
17/03/2022 01:04,47
17/03/2022 01:16,47
17/03/2022 01:17,49
17/03/2022 01:18,46
17/03/2022 01:19,52
17/03/2022 01:20,47
17/03/2022 01:21,51
17/03/2022 01:22,46
17/03/2022 01:23,51
17/03/2022 01:24,49
17/03/2022 01:25,48
17/03/2022 01:26,48
17/03/2022 01:27,47
17/03/2022 01:28,48
17/03/2022 01:29,47
17/03/2022 01:30,54
17/03/2022 01:31,50
17/03/2022 01:32,49
17/03/2022 01:33,46
17/03/2022 01:34,49
17/03/2022 01:35,50
17/03/2022 01:36,49
17/03/2022 01:37,50
17/03/2022 01:38,48
17/03/2022 01:39,49
17/03/2022 01:40,46
17/03/2022 01:41,48
17/03/2022 01:42,53
17/03/2022 01:43,47
17/03/2022 01:44,49
17/03/2022 01:45,49
17/03/2022 01:46,49
17/03/2022 01:47,48
17/03/2022 01:48,47
17/03/2022 01:49,48
17/03/2022 01:50,48
17/03/2022 01:51,50
17/03/2022 01:52,48
17/03/2022 01:53,49
17/03/2022 01:54,47
17/03/2022 01:55,48
17/03/2022 02:26,48
17/03/2022 02:27,46
17/03/2022 02:28,49
17/03/2022 02:29,49
17/03/2022 02:30,46
17/03/2022 02:31,46
17/03/2022 02:32,50
17/03/2022 02:33,47
17/03/2022 02:34,54
17/03/2022 02:35,49
17/03/2022 02:46,46
17/03/2022 02:47,48
17/03/2022 02:48,46
17/03/2022 02:49,46
17/03/2022 02:50,48
17/03/2022 02:51,47
17/03/2022 02:52,47
17/03/2022 02:53,48
17/03/2022 02:54,48
17/03/2022 02:55,49
17/03/2022 03:06,47
17/03/2022 03:07,48
17/03/2022 03:08,46
17/03/2022 03:09,50
17/03/2022 03:10,48
17/03/2022 03:12,47
17/03/2022 03:13,46
17/03/2022 03:14,46
17/03/2022 03:15,46
17/03/2022 03:16,48
17/03/2022 03:17,48
17/03/2022 03:18,47
17/03/2022 03:19,47
17/03/2022 03:20,49
17/03/2022 03:21,46
17/03/2022 03:22,47
17/03/2022 03:23,49
17/03/2022 03:24,47
17/03/2022 03:25,49
17/03/2022 03:26,51
17/03/2022 03:27,46
17/03/2022 03:28,46
17/03/2022 03:29,46
17/03/2022 03:30,48
17/03/2022 03:31,46
17/03/2022 03:32,48
17/03/2022 03:33,47
17/03/2022 03:34,51
17/03/2022 03:35,47
17/03/2022 03:36,51
17/03/2022 03:37,48
17/03/2022 03:38,46
17/03/2022 03:39,47
17/03/2022 03:40,48
17/03/2022 03:41,46
17/03/2022 03:42,47
17/03/2022 03:43,46
17/03/2022 03:44,48
17/03/2022 03:45,47
17/03/2022 03:46,47
17/03/2022 03:47,49
17/03/2022 03:48,46
17/03/2022 03:49,48
17/03/2022 03:50,46
17/03/2022 03:51,47
17/03/2022 03:52,46
17/03/2022 03:53,46
17/03/2022 03:54,45
17/03/2022 03:55,46
17/03/2022 04:36,52
17/03/2022 04:37,52
17/03/2022 04:38,48
17/03/2022 04:39,48
17/03/2022 04:40,47
17/03/2022 04:41,49
17/03/2022 04:42,50
17/03/2022 04:43,49
17/03/2022 04:44,51
17/03/2022 04:45,47
17/03/2022 06:46,54
17/03/2022 06:47,54
17/03/2022 06:48,54
17/03/2022 06:49,56
17/03/2022 06:50,51
17/03/2022 06:51,54
17/03/2022 06:52,55
17/03/2022 06:53,56
17/03/2022 06:54,56
17/03/2022 06:55,53
17/03/2022 06:56,55
17/03/2022 06:57,51
17/03/2022 06:58,58
17/03/2022 06:59,54
17/03/2022 07:00,54
17/03/2022 07:01,49
17/03/2022 07:02,57
17/03/2022 07:03,53
17/03/2022 07:04,53
17/03/2022 07:05,59
17/03/2022 07:06,52
17/03/2022 07:07,49
17/03/2022 07:08,55
17/03/2022 07:10,53
17/03/2022 07:11,53
17/03/2022 07:12,58
17/03/2022 07:13,53
17/03/2022 07:14,52
17/03/2022 07:15,59
17/03/2022 07:16,54
17/03/2022 07:17,52
17/03/2022 07:18,62
17/03/2022 07:19,58
17/03/2022 07:20,51
17/03/2022 07:21,55
17/03/2022 07:22,59
17/03/2022 07:23,51
17/03/2022 07:24,58
17/03/2022 07:25,62
17/03/2022 07:26,50
17/03/2022 07:27,58
17/03/2022 07:28,61
17/03/2022 07:29,55
17/03/2022 07:30,53
17/03/2022 07:31,61
17/03/2022 07:32,51
17/03/2022 07:33,56
17/03/2022 07:34,61
17/03/2022 07:35,51
17/03/2022 07:36,57
17/03/2022 07:37,65
17/03/2022 07:38,53
17/03/2022 07:39,54
17/03/2022 07:40,63
17/03/2022 07:41,54
17/03/2022 07:42,53
17/03/2022 07:43,62
17/03/2022 07:44,57
17/03/2022 07:45,56
17/03/2022 08:56,62
17/03/2022 08:57,53
17/03/2022 08:58,57
17/03/2022 08:59,61
17/03/2022 09:00,52
17/03/2022 09:01,56
17/03/2022 09:02,62
17/03/2022 09:03,53
17/03/2022 09:04,54
17/03/2022 09:05,62
17/03/2022 09:16,59
17/03/2022 09:17,52
17/03/2022 09:18,59
17/03/2022 09:19,62
17/03/2022 09:20,59
17/03/2022 09:21,63
17/03/2022 09:22,60
17/03/2022 09:23,52
17/03/2022 09:24,63
17/03/2022 09:25,62
17/03/2022 10:16,59
17/03/2022 10:17,59
17/03/2022 10:18,61
17/03/2022 10:19,58
17/03/2022 10:20,61
17/03/2022 10:21,62
17/03/2022 10:22,59
17/03/2022 10:23,62
17/03/2022 10:24,59
17/03/2022 10:25,63
17/03/2022 10:26,62
17/03/2022 10:27,62
17/03/2022 10:28,62
17/03/2022 10:29,60
17/03/2022 10:30,58
17/03/2022 10:31,62
17/03/2022 10:32,61
17/03/2022 10:33,64
17/03/2022 10:34,63
17/03/2022 10:35,60
17/03/2022 11:56,64
17/03/2022 11:57,61
17/03/2022 11:58,65
17/03/2022 11:59,64
17/03/2022 12:00,67
17/03/2022 12:01,66
17/03/2022 12:02,63
17/03/2022 12:03,62
17/03/2022 12:04,63
17/03/2022 12:05,65
17/03/2022 13:07,67
17/03/2022 13:08,66
17/03/2022 13:09,64
17/03/2022 13:10,62
17/03/2022 13:11,68
17/03/2022 13:12,60
17/03/2022 13:13,64
17/03/2022 13:14,69
17/03/2022 13:15,67
17/03/2022 13:16,62
17/03/2022 13:26,66
17/03/2022 13:27,67
17/03/2022 13:28,65
17/03/2022 13:29,65
17/03/2022 13:30,60
17/03/2022 13:31,66
17/03/2022 13:32,65
17/03/2022 13:33,69
17/03/2022 13:34,66
17/03/2022 13:35,69
17/03/2022 13:36,61
17/03/2022 13:37,65
17/03/2022 13:38,69
17/03/2022 13:39,68
17/03/2022 13:40,67
17/03/2022 13:41,65
17/03/2022 13:42,67
17/03/2022 13:43,60
17/03/2022 13:44,63
17/03/2022 13:45,65
17/03/2022 13:46,67
17/03/2022 13:47,67
17/03/2022 13:48,63
17/03/2022 13:49,66
17/03/2022 13:50,63
17/03/2022 13:51,64
17/03/2022 13:52,67
17/03/2022 13:53,67
17/03/2022 13:54,65
17/03/2022 13:55,65
17/03/2022 13:56,62
17/03/2022 13:57,62
17/03/2022 13:58,67
17/03/2022 13:59,66
17/03/2022 14:00,66
17/03/2022 14:01,71
17/03/2022 14:02,64
17/03/2022 14:03,61
17/03/2022 14:05,64
17/03/2022 14:05,65
17/03/2022 14:17,61
17/03/2022 14:18,62
17/03/2022 14:19,64
17/03/2022 14:20,66
17/03/2022 14:21,66
17/03/2022 14:22,65
17/03/2022 14:23,61
17/03/2022 14:24,64
17/03/2022 14:25,64
17/03/2022 14:26,66
17/03/2022 14:27,65
17/03/2022 14:28,65
17/03/2022 14:29,63
17/03/2022 14:30,59
17/03/2022 14:31,62
17/03/2022 14:32,66
17/03/2022 14:33,64
17/03/2022 14:34,65
17/03/2022 14:35,64
17/03/2022 16:36,57
17/03/2022 16:37,65
17/03/2022 16:38,58
17/03/2022 16:39,57
17/03/2022 16:40,65
17/03/2022 16:41,59
17/03/2022 16:42,56
17/03/2022 16:43,64
17/03/2022 16:44,61
17/03/2022 16:45,55
17/03/2022 16:46,65
17/03/2022 16:47,62
17/03/2022 16:48,54
17/03/2022 16:49,62
17/03/2022 16:50,61
17/03/2022 16:51,54
17/03/2022 16:52,61
17/03/2022 16:53,59
17/03/2022 16:54,55
17/03/2022 16:55,60
17/03/2022 17:17,54
17/03/2022 17:18,60
17/03/2022 17:19,60
17/03/2022 17:20,53
17/03/2022 17:21,60
17/03/2022 17:22,62
17/03/2022 17:23,51
17/03/2022 17:24,61
17/03/2022 17:25,63
17/03/2022 17:36,55
17/03/2022 17:37,63
17/03/2022 17:38,57
17/03/2022 17:39,55
17/03/2022 17:40,63
17/03/2022 17:41,60
17/03/2022 17:42,55
17/03/2022 17:43,62
17/03/2022 17:44,57
17/03/2022 17:45,56
17/03/2022 17:46,62
17/03/2022 17:47,60
17/03/2022 17:48,54
17/03/2022 17:49,61
17/03/2022 17:50,60
17/03/2022 17:51,54
17/03/2022 17:52,60
17/03/2022 17:53,61
17/03/2022 17:54,53
17/03/2022 17:55,59
17/03/2022 17:56,61
17/03/2022 17:57,53
17/03/2022 17:58,59
17/03/2022 17:59,63
17/03/2022 18:00,55
17/03/2022 18:01,55
17/03/2022 18:02,62
17/03/2022 18:03,56
17/03/2022 18:04,54
17/03/2022 18:05,63
17/03/2022 18:36,56
17/03/2022 18:37,61
17/03/2022 18:38,56
17/03/2022 18:39,58
17/03/2022 18:40,62
17/03/2022 18:41,58
17/03/2022 18:42,53
17/03/2022 18:43,60
17/03/2022 18:44,59
17/03/2022 18:45,56
17/03/2022 18:46,59
17/03/2022 18:47,60
17/03/2022 18:48,54
17/03/2022 18:49,60
17/03/2022 18:50,61
17/03/2022 18:51,54
17/03/2022 18:52,63
17/03/2022 18:53,63
17/03/2022 18:54,60
17/03/2022 18:55,58
17/03/2022 18:56,61
17/03/2022 18:57,55
17/03/2022 18:58,57
17/03/2022 18:59,60
17/03/2022 19:00,60
17/03/2022 19:01,61
17/03/2022 19:02,58
17/03/2022 19:03,56
17/03/2022 19:04,58
17/03/2022 19:05,57
17/03/2022 19:17,58
17/03/2022 19:18,60
17/03/2022 19:19,62
17/03/2022 19:20,56
17/03/2022 19:21,58
17/03/2022 19:22,61
17/03/2022 19:23,56
17/03/2022 19:24,53
17/03/2022 19:25,61
17/03/2022 21:06,56
17/03/2022 21:07,55
17/03/2022 21:08,56
17/03/2022 21:10,55
17/03/2022 21:11,55
17/03/2022 21:12,57
17/03/2022 21:13,55
17/03/2022 21:14,55
17/03/2022 21:15,56
17/03/2022 21:16,58
17/03/2022 21:17,58
17/03/2022 21:18,52
17/03/2022 21:19,53
17/03/2022 21:20,56
17/03/2022 21:21,58
17/03/2022 21:22,59
17/03/2022 21:23,56
17/03/2022 21:24,56
17/03/2022 21:25,55
